curve_type,total_samples,final_answer_correct_count,final_answer_accuracy,reasoning_success_count,reasoning_success_rate,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
Hyperbola,177,14,0.07909604519774012,139,0.7853107344632768,0.10071942446043165,239,0.1589958158995816,0.3598326359832636,0.4686192468619247
Parabola,148,15,0.10135135135135136,66,0.44594594594594594,0.22727272727272727,427,0.11007025761124122,0.2646370023419204,0.3325526932084309
Ellipse,143,18,0.1258741258741259,117,0.8181818181818182,0.15384615384615385,177,0.096045197740113,0.1807909604519774,0.3163841807909605
Other,21,0,0.0,6,0.2857142857142857,0.0,20,0.05,0.2,0.2
Circle,11,0,0.0,9,0.8181818181818182,0.0,30,0.03333333333333333,0.2,0.3333333333333333
