query_type,total_samples,final_answer_correct_count,final_answer_accuracy,reasoning_success_count,reasoning_success_rate,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
Value,159,17,0.1069182389937107,106,0.6666666666666666,0.16037735849056603,353,0.11048158640226628,0.2804532577903683,0.35127478753541075
Equation,131,11,0.08396946564885496,107,0.816793893129771,0.102803738317757,168,0.13095238095238096,0.2619047619047619,0.35119047619047616
Eccentricity,83,7,0.08433734939759036,71,0.8554216867469879,0.09859154929577464,106,0.1509433962264151,0.3113207547169811,0.4339622641509434
Range,38,4,0.10526315789473684,17,0.4473684210526316,0.23529411764705882,51,0.058823529411764705,0.17647058823529413,0.39215686274509803
Area,27,0,0.0,11,0.4074074074074074,0.0,86,0.09302325581395349,0.20930232558139536,0.313953488372093
Coordinate,27,3,0.1111111111111111,4,0.14814814814814814,0.75,56,0.10714285714285714,0.26785714285714285,0.375
Distance,22,2,0.09090909090909091,12,0.5454545454545454,0.16666666666666666,55,0.16363636363636364,0.32727272727272727,0.38181818181818183
Length,13,3,0.23076923076923078,9,0.6923076923076923,0.3333333333333333,18,0.05555555555555555,0.2777777777777778,0.3333333333333333
