query_type,total_samples,final_answer_correct_count,final_answer_accuracy,reasoning_success_count,reasoning_success_rate,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
Value,71,15,0.2112676056338028,50,0.704225352112676,0.3,162,0.11728395061728394,0.3271604938271605,0.41358024691358025
Equation,43,7,0.16279069767441862,34,0.7906976744186046,0.20588235294117646,69,0.11594202898550725,0.2608695652173913,0.37681159420289856
Eccentricity,40,5,0.125,35,0.875,0.14285714285714285,47,0.14893617021276595,0.2765957446808511,0.3617021276595745
Range,16,2,0.125,10,0.625,0.2,20,0.05,0.1,0.25
Coordinate,11,2,0.18181818181818182,2,0.18181818181818182,1.0,30,0.13333333333333333,0.3,0.4
Distance,7,0,0.0,3,0.42857142857142855,0.0,15,0.0,0.06666666666666667,0.2
Area,6,0,0.0,2,0.3333333333333333,0.0,19,0.10526315789473684,0.10526315789473684,0.2631578947368421
Length,6,2,0.3333333333333333,4,0.6666666666666666,0.5,12,0.0,0.25,0.25
