curve_type,total_samples,final_answer_correct_count,final_answer_accuracy,reasoning_success_count,reasoning_success_rate,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
Hyperbola,72,12,0.16666666666666666,62,0.8611111111111112,0.1935483870967742,88,0.1590909090909091,0.3977272727272727,0.5113636363636364
Ellipse,58,9,0.15517241379310345,42,0.7241379310344828,0.21428571428571427,84,0.10714285714285714,0.17857142857142858,0.2976190476190476
Parabola,56,12,0.21428571428571427,29,0.5178571428571429,0.41379310344827586,180,0.08888888888888889,0.24444444444444444,0.3277777777777778
Other,9,0,0.0,3,0.3333333333333333,0.0,11,0.09090909090909091,0.36363636363636365,0.36363636363636365
Circle,5,0,0.0,4,0.8,0.0,11,0.09090909090909091,0.2727272727272727,0.45454545454545453
