query_type,total_samples,final_answer_correct_count,final_answer_accuracy,reasoning_success_count,reasoning_success_rate,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
Value,2714,164,0.0604274134119381,1675,0.6171702284450995,0.09791044776119404,5576,0.11119081779053085,0.24497847919655666,0.3267575322812052
Equation,1699,49,0.028840494408475574,1392,0.8193054738081225,0.035201149425287355,2454,0.1267318663406683,0.2404237978810106,0.3345558272208639
Eccentricity,1210,101,0.0834710743801653,1067,0.8818181818181818,0.09465791940018745,1278,0.14710485133020346,0.3161189358372457,0.4460093896713615
Distance,526,17,0.03231939163498099,247,0.4695817490494297,0.06882591093117409,1183,0.16737109044801352,0.3440405748098056,0.4167371090448014
Range,478,57,0.1192468619246862,239,0.5,0.2384937238493724,911,0.08122941822173436,0.20965971459934138,0.3194291986827662
Coordinate,400,49,0.1225,94,0.235,0.5212765957446809,730,0.15342465753424658,0.31232876712328766,0.40821917808219177
Length,299,16,0.05351170568561873,146,0.4882943143812709,0.1095890410958904,536,0.08395522388059702,0.27798507462686567,0.36007462686567165
Area,298,0,0.0,111,0.3724832214765101,0.0,910,0.11208791208791209,0.26263736263736265,0.36813186813186816
