curve_type,total_samples,final_answer_correct_count,final_answer_accuracy,reasoning_success_count,reasoning_success_rate,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
Hyperbola,2650,219,0.08264150943396227,2103,0.7935849056603773,0.10413694721825963,3335,0.16581709145427287,0.3472263868065967,0.4668665667166417
Ellipse,2392,142,0.05936454849498328,1868,0.7809364548494984,0.07601713062098502,3299,0.10215216732343134,0.19702940284934828,0.28190360715368296
Parabola,2168,92,0.042435424354243544,806,0.37177121771217714,0.1141439205955335,6117,0.11132908288376656,0.2607487330390714,0.3359489946051986
Other,310,0,0.0,129,0.4161290322580645,0.0,561,0.10873440285204991,0.23885918003565063,0.3511586452762923
Circle,104,0,0.0,65,0.625,0.0,266,0.06766917293233082,0.13909774436090225,0.3157894736842105
