schema_version,strategy,seed,sample_size,checkpoint_path,max_steps,top_k,lambda_1_p_y_x,lambda_2_info_gain,lambda_3_h_y_x,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,avg_steps,avg_steps_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy,avg_prediction_entropy,avg_info_gain,avg_score,failure_reason_distribution,reasoning_failure_reason_distribution
egr_search_ablation_table_v1,rule_only,42,10,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,6,0.6,2,0.2,0.3333333333333333,5.0,3.3333333333333335,10,0.0,0.0,0.1,,,,"{""answer_mismatch"": 4, ""max_steps"": 2, ""no_model"": 2}","{""max_steps"": 2, ""no_model"": 2}"
egr_search_ablation_table_v1,neural_only,42,10,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,8,0.8,2,0.2,0.25,7.5,6.125,15,0.26666666666666666,0.3333333333333333,0.4,1.5668371613820393,,,"{""answer_mismatch"": 6, ""max_steps"": 1, ""no_model"": 1}","{""max_steps"": 1, ""no_model"": 1}"
egr_search_ablation_table_v1,neural_rule,42,10,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,8,0.8,2,0.2,0.25,5.3,4.875,15,0.2,0.26666666666666666,0.4,1.6335383434340638,,,"{""answer_mismatch"": 6, ""no_model"": 2}","{""no_model"": 2}"
egr_search_ablation_table_v1,full_egr,42,10,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,8,0.8,2,0.2,0.25,4.9,4.375,15,0.2,0.26666666666666666,0.4,1.6346865849835532,0.0358061224489796,-0.022208485635217975,"{""answer_mismatch"": 6, ""no_model"": 2}","{""no_model"": 2}"
