schema_version,strategy,seed,sample_size,checkpoint_path,max_steps,top_k,lambda_1_p_y_x,lambda_2_info_gain,lambda_3_h_y_x,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,avg_steps,avg_steps_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy,avg_prediction_entropy,avg_info_gain,avg_score,failure_reason_distribution,reasoning_failure_reason_distribution
egr_search_ablation_table_v1,rule_only,42,50,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,30,0.6,11,0.22,0.36666666666666664,3.72,1.9666666666666666,60,0.0,0.05,0.25,,,,"{""answer_mismatch"": 19, ""max_steps"": 8, ""no_model"": 12}","{""max_steps"": 8, ""no_model"": 12}"
egr_search_ablation_table_v1,neural_only,42,50,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,43,0.86,13,0.26,0.3023255813953488,6.12,5.0,90,0.23333333333333334,0.4,0.5111111111111111,1.570718018059981,,,"{""answer_mismatch"": 30, ""max_steps"": 3, ""no_model"": 4}","{""max_steps"": 3, ""no_model"": 4}"
egr_search_ablation_table_v1,neural_rule,42,50,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,43,0.86,13,0.26,0.3023255813953488,4.62,4.046511627906977,87,0.22988505747126436,0.41379310344827586,0.5402298850574713,1.5285406699711537,,,"{""answer_mismatch"": 30, ""max_steps"": 1, ""no_model"": 6}","{""max_steps"": 1, ""no_model"": 6}"
egr_search_ablation_table_v1,full_egr,42,50,checkpoints/model_selector_v2.pth,15,10,0.6,0.3,0.1,43,0.86,13,0.26,0.3023255813953488,4.3,3.7209302325581395,86,0.23255813953488372,0.4186046511627907,0.5465116279069767,1.488573169295113,0.0317232558139535,0.0020901286107350733,"{""answer_mismatch"": 30, ""max_steps"": 1, ""no_model"": 6}","{""max_steps"": 1, ""no_model"": 6}"
